,"Title", "Authors"
"1","`The genome and phenome of the green alga Chloroidium sp. UTEX 3007 reveal adaptive traits for desert acclimatization <https://elifesciences.org/articles/25783.pdf>`_","Glenn L. Butterfoss"
"2","`A non-canonical site reveals the cooperative mechanisms of microRNA-mediated silencing <https://pubmed.ncbi.nlm.nih.gov/28482037/>`_","Kristin C Gunsalus"
"3","`An actin-based nucleoskeleton involved in gene regulation and genome organization <https://www.sciencedirect.com/science/article/abs/pii/S0006291X17323835>`_","Piergiorgio Percipalle"
"4","`β-Actin-dependent global chromatin organization and gene expression programs control cellular identity <https://pubmed.ncbi.nlm.nih.gov/29101221/>`_","Piergiorgio Percipalle"
"5","`Intracellular spectral recompositioning of light enhances algal photosynthetic efficiency <https://advances.sciencemag.org/content/3/9/e1603096>`_","Weiqi Fu"
"6","`LINE Insertion Polymorphisms are Abundant but at Low Frequencies across Populations of Anolis carolinensis. <https://pubmed.ncbi.nlm.nih.gov/28450881/>`_","Stephane Boissinot"
"7","`Racemization barriers of atropisomeric 3,3' bipyrroles: an experimental study with theoretical verification <https://pubs.rsc.org/en/content/articlelanding/2016/ra/c6ra07585a#!divAbstract>`_","Glenn L. Butterfoss"
"8","`Peptoid nanosheets exhibit a new secondary-structure motif <https://pubmed.ncbi.nlm.nih.gov/26444241/>`_","Glenn L. Butterfoss"
"9","`Assembly and analysis of eukaryotic Argonaute-RNA complexes in microRNA-target recognition <https://pubmed.ncbi.nlm.nih.gov/26432829/>`_","Kristin C Gunsalus"
"10","`Whole genome re-sequencing of date palms yields insights into diversification of a fruit tree crop    <https://www.nature.com/articles/ncomms9824>`_","Youssef Idaghdour"
"11","`Whole-Genome Resequencing Reveals Extensive Natural Variation in the Model Green Alga Chlamydomonas reinhardtii       <https://pubmed.ncbi.nlm.nih.gov/26392080/>`_","Jonathan M Flowers"
"12","`Conformational Preferences of Peptide-Peptoid Hybrid Oligomers        <https://pubmed.ncbi.nlm.nih.gov/24919990/>`_","Glenn L. Butterfoss"
"13","`A Rotamer Library to Enable Modeling and Design of Peptoid    <https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4227732/>`_","Glenn L. Butterfoss"
